 Slug Name,Project Start,Project End,days,Communication Skills,Feasibility Analysis,Ideation,User-Centered Design,Trend Analysis,Problem Solving,Design Planning,Cross-functional Collaboration,Product Conceptualization,User Experience (UX) Design,Innovation,Design Research,Risk Assessment,Cost/Benefit Analysis,Technical Feasibility,Decision Making,Business Acumen,Technical Communication,CAD (Computer-Aided Design),Prototyping,Materials Knowledge,Product Testing,Performance Analysis,Reliability Testing,Usability Testing,Simulation,Data Analysis,Continuous Improvement,Iterative Design,Value Engineering,Feedback Incorporation,Iterative Prototyping,Process Optimization,Materials Selection,Production Planning,Supplier Management,Cost Reduction,Design for Manufacturing (DFM),Jig and Fixture Design,Testing Automation,Tolerance Analysis,Production Coordination,Assembly Processes,Quality Management,Lean Manufacturing,Six Sigma,Inspection Techniques,Statistical Process Control (SPC),Human Factors and Ergonomics,Geometric Design and Tolerancing (GD&T),Failure Mode and Effects Analysis (FMEA),Graphic Design,Consumer Psychology,Product Launch Planning,Supply Chain Management,Logistics Planning,Global Logistics,Project Management,Launch Planning,Stakeholder Communication,Risk Management,Project Coordination,Customer Feedback Analysis,Product Knowledge,Post-Launch Analysis,KPI Tracking,Root Cause Analysis,Lessons Learned,Agile Methodology
Mbox 2 Pro,6/1/2006,11/1/2006,153,7.65,1.53,1.53,1.53,1.53,7.65,7.65,1.53,3.06,1.53,1.53,4.59,1.53,1.53,1.53,4.59,1.53,7.65,1.53,7.65,1.53,4.59,1.53,3.06,1.53,3.06,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,4.59,1.53,1.53,1.53,1.53,1.53,1.53,1.53
003,6/1/2006,2/1/2007,245,12.25,2.45,2.45,2.45,2.45,12.25,12.25,2.45,4.9,2.45,2.45,7.35,2.45,2.45,2.45,7.35,2.45,12.25,2.45,12.25,2.45,7.35,2.45,4.9,2.45,4.9,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,7.35,2.45,2.45,2.45,2.45,2.45,2.45,2.45
Control 24,8/1/2006,7/1/2007,334,16.7,3.34,3.34,3.34,3.34,16.7,16.7,3.34,6.68,3.34,3.34,10.02,3.34,3.34,3.34,10.02,3.34,16.7,3.34,16.7,3.34,10.02,3.34,6.68,3.34,6.68,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,10.02,3.34,3.34,3.34,3.34,3.34,3.34,3.34
Mbox 2,9/1/2005,11/1/2005,61,3.05,0.61,0.61,0.61,0.61,3.05,3.05,0.61,1.22,0.61,0.61,1.83,0.61,0.61,0.61,1.83,0.61,3.05,0.61,3.05,0.61,1.83,0.61,1.22,0.61,1.22,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,1.83,0.61,0.61,0.61,0.61,0.61,0.61,0.61
Profile,2/1/2005,7/1/2005,150,7.5,1.5,1.5,1.5,1.5,7.5,7.5,1.5,3,1.5,1.5,4.5,1.5,1.5,1.5,4.5,1.5,7.5,1.5,7.5,1.5,4.5,1.5,3,1.5,3,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,4.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
D-Show,2/1/2005,7/1/2005,150,7.5,1.5,1.5,1.5,1.5,7.5,7.5,1.5,3,1.5,1.5,4.5,1.5,1.5,1.5,4.5,1.5,7.5,1.5,7.5,1.5,4.5,1.5,3,1.5,3,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,4.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
D-Control,8/1/2004,3/1/2005,212,10.6,2.12,2.12,2.12,2.12,10.6,10.6,2.12,4.24,2.12,2.12,6.36,2.12,2.12,2.12,6.36,2.12,10.6,2.12,10.6,2.12,6.36,2.12,4.24,2.12,4.24,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,6.36,2.12,2.12,2.12,2.12,2.12,2.12,2.12
D-Command,4/1/2004,9/1/2004,153,7.65,1.53,1.53,1.53,1.53,7.65,7.65,1.53,3.06,1.53,1.53,4.59,1.53,1.53,1.53,4.59,1.53,7.65,1.53,7.65,1.53,4.59,1.53,3.06,1.53,3.06,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,4.59,1.53,1.53,1.53,1.53,1.53,1.53,1.53
Pro Control Jr.,6/1/2003,4/1/2004,305,15.25,3.05,3.05,3.05,3.05,15.25,15.25,3.05,6.1,3.05,3.05,9.15,3.05,3.05,3.05,9.15,3.05,15.25,3.05,15.25,3.05,9.15,3.05,6.1,3.05,6.1,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.05,9.15,3.05,3.05,3.05,3.05,3.05,3.05,3.05
002 Rack,5/1/2003,10/1/2003,153,7.65,1.53,1.53,1.53,1.53,7.65,7.65,1.53,3.06,1.53,1.53,4.59,1.53,1.53,1.53,4.59,1.53,7.65,1.53,7.65,1.53,4.59,1.53,3.06,1.53,3.06,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,4.59,1.53,1.53,1.53,1.53,1.53,1.53,1.53
Mbox,3/1/2003,10/1/2003,214,10.7,2.14,2.14,2.14,2.14,10.7,10.7,2.14,4.28,2.14,2.14,6.42,2.14,2.14,2.14,6.42,2.14,10.7,2.14,10.7,2.14,6.42,2.14,4.28,2.14,4.28,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,6.42,2.14,2.14,2.14,2.14,2.14,2.14,2.14
Xbox,9/1/2002,12/1/2002,91,4.55,0.91,0.91,0.91,0.91,4.55,4.55,0.91,1.82,0.91,0.91,2.73,0.91,0.91,0.91,2.73,0.91,4.55,0.91,4.55,0.91,2.73,0.91,1.82,0.91,1.82,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,2.73,0.91,0.91,0.91,0.91,0.91,0.91,0.91
Receiver 5,6/1/2002,8/1/2002,61,3.05,0.61,0.61,0.61,0.61,3.05,3.05,0.61,1.22,0.61,0.61,1.83,0.61,0.61,0.61,1.83,0.61,3.05,0.61,3.05,0.61,1.83,0.61,1.22,0.61,1.22,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,1.83,0.61,0.61,0.61,0.61,0.61,0.61,0.61
Receiver 4,1/1/2002,5/1/2002,120,6,1.2,1.2,1.2,1.2,6,6,1.2,2.4,1.2,1.2,3.6,1.2,1.2,1.2,3.6,1.2,6,1.2,6,1.2,3.6,1.2,2.4,1.2,2.4,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,3.6,1.2,1.2,1.2,1.2,1.2,1.2,1.2
Receiver 3,10/1/2001,12/1/2001,61,3.05,0.61,0.61,0.61,0.61,3.05,3.05,0.61,1.22,0.61,0.61,1.83,0.61,0.61,0.61,1.83,0.61,3.05,0.61,3.05,0.61,1.83,0.61,1.22,0.61,1.22,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,1.83,0.61,0.61,0.61,0.61,0.61,0.61,0.61
Receiver 2,9/1/2001,11/1/2001,61,3.05,0.61,0.61,0.61,0.61,3.05,3.05,0.61,1.22,0.61,0.61,1.83,0.61,0.61,0.61,1.83,0.61,3.05,0.61,3.05,0.61,1.83,0.61,1.22,0.61,1.22,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,1.83,0.61,0.61,0.61,0.61,0.61,0.61,0.61
Mercury LC,7/1/2001,1/1/2002,184,9.2,1.84,1.84,1.84,1.84,9.2,9.2,1.84,3.68,1.84,1.84,5.52,1.84,1.84,1.84,5.52,1.84,9.2,1.84,9.2,1.84,5.52,1.84,3.68,1.84,3.68,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,1.84,5.52,1.84,1.84,1.84,1.84,1.84,1.84,1.84
usb box,6/1/2001,8/1/2001,61,3.05,0.61,0.61,0.61,0.61,3.05,3.05,0.61,1.22,0.61,0.61,1.83,0.61,0.61,0.61,1.83,0.61,3.05,0.61,3.05,0.61,1.83,0.61,1.22,0.61,1.22,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,1.83,0.61,0.61,0.61,0.61,0.61,0.61,0.61
Remotes,5/1/2001,8/1/2001,92,4.6,0.92,0.92,0.92,0.92,4.6,4.6,0.92,1.84,0.92,0.92,2.76,0.92,0.92,0.92,2.76,0.92,4.6,0.92,4.6,0.92,2.76,0.92,1.84,0.92,1.84,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,2.76,0.92,0.92,0.92,0.92,0.92,0.92,0.92
Receiver 1,4/1/2001,11/1/2001,214,10.7,2.14,2.14,2.14,2.14,10.7,10.7,2.14,4.28,2.14,2.14,6.42,2.14,2.14,2.14,6.42,2.14,10.7,2.14,10.7,2.14,6.42,2.14,4.28,2.14,4.28,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,2.14,6.42,2.14,2.14,2.14,2.14,2.14,2.14,2.14
Node,12/1/2000,1/1/2001,31,1.55,0.31,0.31,0.31,0.31,1.55,1.55,0.31,0.62,0.31,0.31,0.93,0.31,0.31,0.31,0.93,0.31,1.55,0.31,1.55,0.31,0.93,0.31,0.62,0.31,0.62,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.93,0.31,0.31,0.31,0.31,0.31,0.31,0.31
Media Nodes,11/1/2000,4/1/2001,151,7.55,1.51,1.51,1.51,1.51,7.55,7.55,1.51,3.02,1.51,1.51,4.53,1.51,1.51,1.51,4.53,1.51,7.55,1.51,7.55,1.51,4.53,1.51,3.02,1.51,3.02,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,4.53,1.51,1.51,1.51,1.51,1.51,1.51,1.51
MP6000 MP3 Player,7/1/2000,11/1/2000,123,6.15,1.23,1.23,1.23,1.23,6.15,6.15,1.23,2.46,1.23,1.23,3.69,1.23,1.23,1.23,3.69,1.23,6.15,1.23,6.15,1.23,3.69,1.23,2.46,1.23,2.46,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,3.69,1.23,1.23,1.23,1.23,1.23,1.23,1.23
Keyboard,5/1/2000,7/1/2000,61,3.05,0.61,0.61,0.61,0.61,3.05,3.05,0.61,1.22,0.61,0.61,1.83,0.61,0.61,0.61,1.83,0.61,3.05,0.61,3.05,0.61,1.83,0.61,1.22,0.61,1.22,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,1.83,0.61,0.61,0.61,0.61,0.61,0.61,0.61
LapTV,4/1/2000,6/1/2000,61,3.05,0.61,0.61,0.61,0.61,3.05,3.05,0.61,1.22,0.61,0.61,1.83,0.61,0.61,0.61,1.83,0.61,3.05,0.61,3.05,0.61,1.83,0.61,1.22,0.61,1.22,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,1.83,0.61,0.61,0.61,0.61,0.61,0.61,0.61
Remote,4/1/2000,5/1/2000,30,1.5,0.3,0.3,0.3,0.3,1.5,1.5,0.3,0.6,0.3,0.3,0.9,0.3,0.3,0.3,0.9,0.3,1.5,0.3,1.5,0.3,0.9,0.3,0.6,0.3,0.6,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.9,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Netscreen-500,2/1/2000,4/1/2000,60,3,0.6,0.6,0.6,0.6,3,3,0.6,1.2,0.6,0.6,1.8,0.6,0.6,0.6,1.8,0.6,3,0.6,3,0.6,1.8,0.6,1.2,0.6,1.2,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,1.8,0.6,0.6,0.6,0.6,0.6,0.6,0.6
320 540,8/1/1998,9/1/1998,31,1.55,0.31,0.31,0.31,0.31,1.55,1.55,0.31,0.62,0.31,0.31,0.93,0.31,0.31,0.31,0.93,0.31,1.55,0.31,1.55,0.31,0.93,0.31,0.62,0.31,0.62,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.93,0.31,0.31,0.31,0.31,0.31,0.31,0.31
HP Jornada,6/1/1998,7/1/1998,30,1.5,0.3,0.3,0.3,0.3,1.5,1.5,0.3,0.6,0.3,0.3,0.9,0.3,0.3,0.3,0.9,0.3,1.5,0.3,1.5,0.3,0.9,0.3,0.6,0.3,0.6,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.9,0.3,0.3,0.3,0.3,0.3,0.3,0.3
DVDO Player,3/1/1998,5/1/1998,61,3.05,0.61,0.61,0.61,0.61,3.05,3.05,0.61,1.22,0.61,0.61,1.83,0.61,0.61,0.61,1.83,0.61,3.05,0.61,3.05,0.61,1.83,0.61,1.22,0.61,1.22,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,1.83,0.61,0.61,0.61,0.61,0.61,0.61,0.61
Vadem Clio,10/1/1997,11/1/1997,31,1.55,0.31,0.31,0.31,0.31,1.55,1.55,0.31,0.62,0.31,0.31,0.93,0.31,0.31,0.31,0.93,0.31,1.55,0.31,1.55,0.31,0.93,0.31,0.62,0.31,0.62,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.93,0.31,0.31,0.31,0.31,0.31,0.31,0.31
KaVo Dental Unit 2,7/1/1997,12/1/1997,153,7.65,1.53,1.53,1.53,1.53,7.65,7.65,1.53,3.06,1.53,1.53,4.59,1.53,1.53,1.53,4.59,1.53,7.65,1.53,7.65,1.53,4.59,1.53,3.06,1.53,3.06,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,4.59,1.53,1.53,1.53,1.53,1.53,1.53,1.53
Acer Phone,7/1/1997,8/1/1997,31,1.55,0.31,0.31,0.31,0.31,1.55,1.55,0.31,0.62,0.31,0.31,0.93,0.31,0.31,0.31,0.93,0.31,1.55,0.31,1.55,0.31,0.93,0.31,0.62,0.31,0.62,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.93,0.31,0.31,0.31,0.31,0.31,0.31,0.31
KaVo Dental Unit 1,7/1/1997,10/1/1997,92,4.6,0.92,0.92,0.92,0.92,4.6,4.6,0.92,1.84,0.92,0.92,2.76,0.92,0.92,0.92,2.76,0.92,4.6,0.92,4.6,0.92,2.76,0.92,1.84,0.92,1.84,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,2.76,0.92,0.92,0.92,0.92,0.92,0.92,0.92
Acer subwoofer,6/1/1997,8/1/1997,61,3.05,0.61,0.61,0.61,0.61,3.05,3.05,0.61,1.22,0.61,0.61,1.83,0.61,0.61,0.61,1.83,0.61,3.05,0.61,3.05,0.61,1.83,0.61,1.22,0.61,1.22,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,1.83,0.61,0.61,0.61,0.61,0.61,0.61,0.61
Newscorp set-top box,2/1/1997,10/1/1997,242,12.1,2.42,2.42,2.42,2.42,12.1,12.1,2.42,4.84,2.42,2.42,7.26,2.42,2.42,2.42,7.26,2.42,12.1,2.42,12.1,2.42,7.26,2.42,4.84,2.42,4.84,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,7.26,2.42,2.42,2.42,2.42,2.42,2.42,2.42
Packard Bell Convertible,2/1/1996,3/1/1996,29,1.45,0.29,0.29,0.29,0.29,1.45,1.45,0.29,0.58,0.29,0.29,0.87,0.29,0.29,0.29,0.87,0.29,1.45,0.29,1.45,0.29,0.87,0.29,0.58,0.29,0.58,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.87,0.29,0.29,0.29,0.29,0.29,0.29,0.29
Acer Aspire,2/1/1996,5/1/1996,90,4.5,0.9,0.9,0.9,0.9,4.5,4.5,0.9,1.8,0.9,0.9,2.7,0.9,0.9,0.9,2.7,0.9,4.5,0.9,4.5,0.9,2.7,0.9,1.8,0.9,1.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,2.7,0.9,0.9,0.9,0.9,0.9,0.9,0.9
Fissler BBQ,5/1/1995,1/1/1996,245,12.25,2.45,2.45,2.45,2.45,12.25,12.25,2.45,4.9,2.45,2.45,7.35,2.45,2.45,2.45,7.35,2.45,12.25,2.45,12.25,2.45,7.35,2.45,4.9,2.45,4.9,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,7.35,2.45,2.45,2.45,2.45,2.45,2.45,2.45
Sunbeam window toaster,1/1/1995,3/1/1995,59,2.95,0.59,0.59,0.59,0.59,2.95,2.95,0.59,1.18,0.59,0.59,1.77,0.59,0.59,0.59,1.77,0.59,2.95,0.59,2.95,0.59,1.77,0.59,1.18,0.59,1.18,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,1.77,0.59,0.59,0.59,0.59,0.59,0.59,0.59
Frantic Frames,4/1/1992,3/1/1993,334,16.7,3.34,3.34,3.34,3.34,16.7,16.7,3.34,6.68,3.34,3.34,10.02,3.34,3.34,3.34,10.02,3.34,16.7,3.34,16.7,3.34,10.02,3.34,6.68,3.34,6.68,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,10.02,3.34,3.34,3.34,3.34,3.34,3.34,3.34
Indy,3/1/1992,1/1/1993,306,15.3,3.06,3.06,3.06,3.06,15.3,15.3,3.06,6.12,3.06,3.06,9.18,3.06,3.06,3.06,9.18,3.06,15.3,3.06,15.3,3.06,9.18,3.06,6.12,3.06,6.12,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,9.18,3.06,3.06,3.06,3.06,3.06,3.06,3.06
Indigo II,4/1/1991,10/1/1992,549,27.45,5.49,5.49,5.49,5.49,27.45,27.45,5.49,10.98,5.49,5.49,16.47,5.49,5.49,5.49,16.47,5.49,27.45,5.49,27.45,5.49,16.47,5.49,10.98,5.49,10.98,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.49,16.47,5.49,5.49,5.49,5.49,5.49,5.49,5.49
Indigo,11/1/1989,6/1/1991,577,28.85,5.77,5.77,5.77,5.77,28.85,28.85,5.77,11.54,5.77,5.77,17.31,5.77,5.77,5.77,17.31,5.77,28.85,5.77,28.85,5.77,17.31,5.77,11.54,5.77,11.54,5.77,5.77,5.77,5.77,5.77,5.77,5.77,5.77,5.77,5.77,5.77,5.77,5.77,5.77,5.77,5.77,5.77,5.77,5.77,5.77,5.77,5.77,5.77,5.77,5.77,5.77,5.77,5.77,5.77,5.77,5.77,5.77,5.77,5.77,5.77,17.31,5.77,5.77,5.77,5.77,5.77,5.77,5.77
